Datetime,Load,Phase,P_kW,Q_kvar
2026-07-01 12:00:00,load_8A,A,18,6
2026-07-01 12:00:00,load_8B,B,15,5
2026-07-01 12:00:00,load_8C,C,12,4
2026-07-01 12:00:00,load_9A,A,9,3
2026-07-01 12:00:00,load_9B,B,8,2.5
2026-07-01 12:00:00,load_9C,C,7,2
2026-07-01 12:00:00,load_11A,A,15,5
2026-07-01 12:00:00,load_11B,B,13,4
2026-07-01 12:00:00,load_11C,C,11,3
2026-07-01 12:00:00,load_12A,A,12,4
2026-07-01 12:00:00,load_12B,B,10,3
2026-07-01 12:00:00,load_12C,C,8,2
2026-07-01 12:00:00,load_13A,A,10,3
2026-07-01 12:00:00,load_13B,B,9,2.5
2026-07-01 12:00:00,load_13C,C,8,2
2026-07-01 12:00:00,load_14A,A,8,2.5
2026-07-01 12:00:00,load_14B,B,7,2
2026-07-01 12:00:00,load_14C,C,6,1.5
2026-07-01 12:00:00,load_15A,A,20,7
2026-07-01 12:00:00,load_15B,B,17,6
2026-07-01 12:00:00,load_15C,C,14,5
2026-07-01 12:30:00,load_8A,A,20,6.5
2026-07-01 12:30:00,load_8B,B,16,5.2
2026-07-01 12:30:00,load_8C,C,13,4.2
2026-07-01 12:30:00,load_9A,A,10,3.2
2026-07-01 12:30:00,load_9B,B,9,2.7
2026-07-01 12:30:00,load_9C,C,7.5,2.2
2026-07-01 12:30:00,load_11A,A,16,5.2
2026-07-01 12:30:00,load_11B,B,14,4.2
2026-07-01 12:30:00,load_11C,C,12,3.2
2026-07-01 12:30:00,load_12A,A,13,4.2
2026-07-01 12:30:00,load_12B,B,11,3.2
2026-07-01 12:30:00,load_12C,C,9,2.2
2026-07-01 12:30:00,load_13A,A,11,3.2
2026-07-01 12:30:00,load_13B,B,10,2.7
2026-07-01 12:30:00,load_13C,C,9,2.2
2026-07-01 12:30:00,load_14A,A,9,2.7
2026-07-01 12:30:00,load_14B,B,8,2.2
2026-07-01 12:30:00,load_14C,C,7,1.7
2026-07-01 12:30:00,load_15A,A,22,7.5
2026-07-01 12:30:00,load_15B,B,19,6.5
2026-07-01 12:30:00,load_15C,C,16,5.5
