Datetime,PVSystem,Irradiance_kW_m2,Temperature_C,Pmpp_kW,kVA,PF
2026-07-01 00:00:00,PV_346kW,0.000,24.0,346,346,1.0
2026-07-01 00:30:00,PV_346kW,0.000,24.3,346,346,1.0
2026-07-01 01:00:00,PV_346kW,0.000,24.5,346,346,1.0
2026-07-01 01:30:00,PV_346kW,0.000,24.8,346,346,1.0
2026-07-01 02:00:00,PV_346kW,0.000,25.0,346,346,1.0
2026-07-01 02:30:00,PV_346kW,0.000,25.3,346,346,1.0
2026-07-01 03:00:00,PV_346kW,0.000,25.5,346,346,1.0
2026-07-01 03:30:00,PV_346kW,0.000,25.8,346,346,1.0
2026-07-01 04:00:00,PV_346kW,0.000,26.0,346,346,1.0
2026-07-01 04:30:00,PV_346kW,0.000,26.3,346,346,1.0
2026-07-01 05:00:00,PV_346kW,0.000,26.5,346,346,1.0
2026-07-01 05:30:00,PV_346kW,0.000,26.8,346,346,1.0
2026-07-01 06:00:00,PV_346kW,0.000,27.0,346,346,1.0
2026-07-01 06:30:00,PV_346kW,0.112,27.5,346,346,1.0
2026-07-01 07:00:00,PV_346kW,0.223,28.0,346,346,1.0
2026-07-01 07:30:00,PV_346kW,0.330,28.5,346,346,1.0
2026-07-01 08:00:00,PV_346kW,0.434,29.0,346,346,1.0
2026-07-01 08:30:00,PV_346kW,0.532,29.5,346,346,1.0
2026-07-01 09:00:00,PV_346kW,0.623,30.0,346,346,1.0
2026-07-01 09:30:00,PV_346kW,0.707,30.5,346,346,1.0
2026-07-01 10:00:00,PV_346kW,0.782,31.0,346,346,1.0
2026-07-01 10:30:00,PV_346kW,0.847,31.5,346,346,1.0
2026-07-01 11:00:00,PV_346kW,0.901,32.0,346,346,1.0
2026-07-01 11:30:00,PV_346kW,0.944,32.5,346,346,1.0
2026-07-01 12:00:00,PV_346kW,0.975,33.0,346,346,1.0
2026-07-01 12:30:00,PV_346kW,0.994,33.5,346,346,1.0
2026-07-01 13:00:00,PV_346kW,1.000,34.0,346,346,1.0
2026-07-01 13:30:00,PV_346kW,0.994,34.5,346,346,1.0
2026-07-01 14:00:00,PV_346kW,0.975,35.0,346,346,1.0
2026-07-01 14:30:00,PV_346kW,0.944,35.5,346,346,1.0
2026-07-01 15:00:00,PV_346kW,0.901,36.0,346,346,1.0
2026-07-01 15:30:00,PV_346kW,0.847,35.3,346,346,1.0
2026-07-01 16:00:00,PV_346kW,0.782,34.6,346,346,1.0
2026-07-01 16:30:00,PV_346kW,0.707,33.9,346,346,1.0
2026-07-01 17:00:00,PV_346kW,0.623,33.2,346,346,1.0
2026-07-01 17:30:00,PV_346kW,0.532,32.5,346,346,1.0
2026-07-01 18:00:00,PV_346kW,0.434,31.8,346,346,1.0
2026-07-01 18:30:00,PV_346kW,0.330,31.1,346,346,1.0
2026-07-01 19:00:00,PV_346kW,0.223,30.4,346,346,1.0
2026-07-01 19:30:00,PV_346kW,0.112,29.7,346,346,1.0
2026-07-01 20:00:00,PV_346kW,0.000,29.0,346,346,1.0
2026-07-01 20:30:00,PV_346kW,0.000,28.4,346,346,1.0
2026-07-01 21:00:00,PV_346kW,0.000,27.8,346,346,1.0
2026-07-01 21:30:00,PV_346kW,0.000,27.1,346,346,1.0
2026-07-01 22:00:00,PV_346kW,0.000,26.5,346,346,1.0
2026-07-01 22:30:00,PV_346kW,0.000,25.9,346,346,1.0
2026-07-01 23:00:00,PV_346kW,0.000,25.3,346,346,1.0
2026-07-01 23:30:00,PV_346kW,0.000,24.6,346,346,1.0
2026-07-02 00:00:00,PV_346kW,0.000,24.0,346,346,1.0
